Especie,Longitud,Latitud
Patagona gigas,-71.54580100000,-33.52171900000
Patagona gigas,-71.54395600000,-30.46475400000
Patagona gigas,-71.54311300000,-33.29458100000
Patagona gigas,-71.53958900000,-33.15439200000
Patagona gigas,-71.53802300000,-33.51894300000
Patagona gigas,-71.53684400000,-31.57692000000
Patagona gigas,-71.53296500000,-32.95761600000
Patagona gigas,-71.53294800000,-32.97734800000
Patagona gigas,-71.53283400000,-36.50655800000
Patagona gigas,-71.53215400000,-33.10702000000
Patagona gigas,-71.53092500000,-31.61480600000
Patagona gigas,-71.53038900000,-30.32000400000
Patagona gigas,-71.53024400000,-34.13081200000
Patagona gigas,-71.53009400000,-31.59014300000
Patagona gigas,-71.52998900000,-33.64802400000
Patagona gigas,-71.52868300000,-32.97355200000
Patagona gigas,-71.52696500000,-31.65618800000
Patagona gigas,-71.52485800000,-32.98375600000
Patagona gigas,-71.52473000000,-32.93005300000
Patagona gigas,-71.52466700000,-31.61146300000
Patagona gigas,-71.52395400000,-32.96987000000
Patagona gigas,-71.52394500000,-32.92882600000
Patagona gigas,-71.52305600000,-33.18935500000
Patagona gigas,-71.52303500000,-33.05160100000
Patagona gigas,-71.52199500000,-31.60850700000
Patagona gigas,-71.52015100000,-34.77258400000
Patagona gigas,-71.51916500000,-33.04141300000
Patagona gigas,-71.51859300000,-33.05011200000
Patagona gigas,-71.51782000000,-32.97223600000
Patagona gigas,-71.51577000000,-32.92630900000
Patagona gigas,-71.51567500000,-32.98742800000
Patagona gigas,-71.51499900000,-31.75183500000
Patagona gigas,-71.51447300000,-33.16687000000
Patagona gigas,-71.50739700000,-32.95615000000
Patagona gigas,-71.50679100000,-32.91742200000
Patagona gigas,-71.50631900000,-32.95700500000
Patagona gigas,-71.50284100000,-33.04316800000
Patagona gigas,-71.50103100000,-33.04397900000
Patagona gigas,-71.50096000000,-33.29035100000
Patagona gigas,-71.50008600000,-32.22088000000
Patagona gigas,-71.50001900000,-33.04132400000
Patagona gigas,-71.50001000000,-33.04621800000
Patagona gigas,-71.49945300000,-33.05201900000
Patagona gigas,-71.49938800000,-33.05194700000
Patagona gigas,-71.49879700000,-31.57150800000
Patagona gigas,-71.49741400000,-33.03921200000
Patagona gigas,-71.49659500000,-33.03858900000
Patagona gigas,-71.49552100000,-32.87405100000
Patagona gigas,-71.49353000000,-32.97641200000
Patagona gigas,-71.49284400000,-33.03982400000
Patagona gigas,-71.49267200000,-33.61969400000
Patagona gigas,-71.49213500000,-32.15848400000
Patagona gigas,-71.48938900000,-31.40910600000
Patagona gigas,-71.48717900000,-32.83762600000
Patagona gigas,-71.48698100000,-30.26162700000
Patagona gigas,-71.48254400000,-35.97991600000
Patagona gigas,-71.48167700000,-30.65362700000
Patagona gigas,-71.47762500000,-31.94066100000
Patagona gigas,-71.47743700000,-33.39074600000
Patagona gigas,-71.47724400000,-33.29143600000
