Especie,Longitud,Latitud
Drimys winteri,-74.580000000100000,-45.67000000010000
Drimys winteri,-74.569999999600000,-50.17000000019999
Drimys winteri,-74.550000000200001,-49.14999999959999
Drimys winteri,-74.491521457800005,-49.14525469070000
Drimys winteri,-74.459658184099993,-49.38067694619999
Drimys winteri,-74.349999999700003,-45.72833333359999
Drimys winteri,-74.320000000299999,-49.32999999989999
Drimys winteri,-74.119999999800001,-42.62999999950000
Drimys winteri,-74.116666999700001,-42.63333300040000
Drimys winteri,-74.116666667100006,-46.74999999949999
Drimys winteri,-74.102717588999994,-49.20810269470000
Drimys winteri,-74.099999999800005,-46.69999999960000
Drimys winteri,-74.038330000000002,-42.38000000019999
Drimys winteri,-74.019999999400000,-50.42999999960000
Drimys winteri,-73.999999999699995,-50.50000000000000
Drimys winteri,-73.990000000300000,-48.68999999980000
Drimys winteri,-73.950000000399996,-42.03333333350000
Drimys winteri,-73.933333333299998,-48.76666666620000
Drimys winteri,-73.920000000399995,-38.36999999969999
Drimys winteri,-73.916666999900002,-38.36666699980000
Drimys winteri,-73.903318717900007,-38.35856605930000
Drimys winteri,-73.900000000500000,-49.72999999969999
Drimys winteri,-73.833333333799999,-42.11666666659999
Drimys winteri,-73.829999999300000,-49.41999999979999
Drimys winteri,-73.844530195800004,-43.86588167229999
Drimys winteri,-73.820000000500002,-51.28000000029999
Drimys winteri,-73.820000000099995,-48.62999999950000
Drimys winteri,-73.817063071099994,-41.87245836860000
Drimys winteri,-73.813683579200003,-42.44644913850000
Drimys winteri,-73.800350245900006,-42.45978247139999
Drimys winteri,-73.792129408899996,-45.02704954859999
Drimys winteri,-73.797020246000002,-42.47978247220000
Drimys winteri,-73.797017245700005,-42.46311547180000
Drimys winteri,-73.801415149099995,-51.13000000019999
Drimys winteri,-73.730000000000004,-50.71999999959999
Drimys winteri,-73.705716460700003,-45.00900162260000
Drimys winteri,-73.714679113700001,-40.24112829660000
Drimys winteri,-73.678232826599995,-42.37125262189999
Drimys winteri,-73.674899826800001,-42.37458562220000
Drimys winteri,-73.661669999899999,-40.44611000039999
Drimys winteri,-73.607785935400003,-52.29724927969999
Drimys winteri,-73.633333333200000,-40.46666666640000
Drimys winteri,-73.629999999700004,-37.33000000039999
Drimys winteri,-73.620000000199994,-41.84999999979999
Drimys winteri,-73.616667000299998,-41.85000000040000
Drimys winteri,-73.611149999800006,-50.24476000020000
Drimys winteri,-73.599220499899999,-41.61896033349999
Drimys winteri,-73.579999999400002,-51.76999999980000
Drimys winteri,-73.579999999699993,-37.52999999989999
Drimys winteri,-73.551427676499998,-37.21189730479999
Drimys winteri,-73.550000000200001,-37.33000000010000
Drimys winteri,-73.548830000600006,-52.21320200019999
Drimys winteri,-73.557569474900006,-47.80453939929999
Drimys winteri,-73.530000000499996,-48.45000000030000
Drimys winteri,-73.554960968499998,-42.93664064560000
Drimys winteri,-73.530683875600005,-37.04701270670000
Drimys winteri,-73.520000000400003,-37.79999999969999
Drimys winteri,-73.519999999600003,-37.30000000009999
Drimys winteri,-73.511389999499997,-40.17332999980000
Drimys winteri,-73.499999999699995,-40.16999999990000
Drimys winteri,-73.483333000399995,-40.16666699950000
Drimys winteri,-73.479999999800000,-40.16999999970000
Drimys winteri,-73.479999999900002,-38.44999999990000
Drimys winteri,-73.470000000400006,-37.92999999960000
Drimys winteri,-73.466669999499999,-40.16666800000000
Drimys winteri,-73.450000000599999,-38.48000000030000
Drimys winteri,-73.447095872199995,-39.86412404299999
Drimys winteri,-73.433333332800004,-40.18333333300000
Drimys winteri,-73.442147351299994,-39.89725039700000
Drimys winteri,-73.441186184000003,-39.88689222949999
Drimys winteri,-73.438814351100007,-39.89391739700000
Drimys winteri,-73.441628984299996,-39.88504654089999
Drimys winteri,-73.430000000199996,-37.91999999979999
Drimys winteri,-73.421491559499998,-44.65594865260000
Drimys winteri,-73.400000000700004,-51.63000000030000
Drimys winteri,-73.400000000000006,-47.87999999990000
Drimys winteri,-73.395254850900002,-45.73094676609999
Drimys winteri,-73.383333332899994,-40.26666666660000
Drimys winteri,-73.383333333699994,-39.71666666680000
Drimys winteri,-73.383333333799996,-37.91666666660000
Drimys winteri,-73.383332999999993,-39.78333299959999
Drimys winteri,-73.383333000500002,-38.78333299999999
Drimys winteri,-73.379999999399999,-39.77999999960000
Drimys winteri,-73.379999999600003,-38.77999999979999
Drimys winteri,-73.379999999500001,-38.39999999999999
Drimys winteri,-73.380000000099997,-37.90000000029999
Drimys winteri,-73.370000000100006,-38.74999999980000
Drimys winteri,-73.353139999800007,-39.73803000000000
Drimys winteri,-73.350000000500003,-39.71999999980000
Drimys winteri,-73.349999999900007,-38.09999999960000
Drimys winteri,-73.349999999800005,-37.47000000029999
Drimys winteri,-73.350000000099996,-37.46666700000000
Drimys winteri,-73.340000000299995,-37.45000000009999
Drimys winteri,-73.329999999799995,-46.42000000030000
Drimys winteri,-73.314329999799995,-39.69391600040000
Drimys winteri,-73.299999999899995,-40.66666666639999
Drimys winteri,-73.299999999899995,-37.57000000019999
Drimys winteri,-73.299999999400001,-37.56666699990000
Drimys winteri,-73.289999999499997,-37.53999999980000
Drimys winteri,-73.268215404800003,-51.72319974439999
Drimys winteri,-73.269999999600003,-51.46999999959999
Drimys winteri,-73.270000000500005,-46.42000000030000
Drimys winteri,-73.270000000200000,-38.15000000029999
Drimys winteri,-73.269999999700005,-38.04999999959999
Drimys winteri,-73.268610000500004,-39.80277999949999
Drimys winteri,-73.268610000300001,-39.80277600019999
Drimys winteri,-73.253000000200004,-39.81299999990000
Drimys winteri,-73.232154042299996,-52.68249217009999
Drimys winteri,-73.249999999500005,-51.45000000030000
Drimys winteri,-73.249999999400004,-41.31666666630000
Drimys winteri,-73.249999999500005,-39.81000000019999
Drimys winteri,-73.250000000000000,-39.80399999990000
Drimys winteri,-73.249999999699995,-37.98333300000000
Drimys winteri,-73.240000000199998,-37.94000000020000
Drimys winteri,-73.233333000100004,-39.81666700019999
Drimys winteri,-73.233333000100004,-38.00000000019999
Drimys winteri,-73.233332999699996,-37.68333300039999
Drimys winteri,-73.233332999599995,-37.56666700040000
Drimys winteri,-73.230000000600000,-39.82000000000000
Drimys winteri,-73.229999999599997,-38.00000000010000
Drimys winteri,-73.230000000499999,-37.67999999970000
Drimys winteri,-73.230000000499999,-37.56999999989999
Drimys winteri,-73.229999999800000,-37.54999999999999
Drimys winteri,-73.230000000299995,-37.52999999979999
Drimys winteri,-73.220000000400006,-38.00000000010000
Drimys winteri,-73.219999999799995,-37.66000000020000
Drimys winteri,-73.220000000100001,-37.55000000030000
Drimys winteri,-73.220000000200002,-37.54000000010000
Drimys winteri,-73.204130000000006,-38.02763400010000
Drimys winteri,-73.183333333899995,-40.34999999979999
Drimys winteri,-73.183333333799993,-38.10000000019999
Drimys winteri,-73.179999999700001,-37.54999999990000
Drimys winteri,-73.170000000599998,-51.21999999980000
Drimys winteri,-73.169999999699996,-39.50000000019999
Drimys winteri,-73.170000000100003,-37.70000000000000
Drimys winteri,-73.169999999599995,-36.78000000010000
Drimys winteri,-73.166669999500002,-39.49999999989999
Drimys winteri,-73.166666999699999,-37.69999999979999
Drimys winteri,-73.166667000100006,-36.78333300039999
Drimys winteri,-73.166666666300003,-36.79999999990000
Drimys winteri,-73.159999999500002,-37.67000000040000
Drimys winteri,-73.144677413899998,-41.74808307659999
Drimys winteri,-73.133332999900006,-36.90000000020000
Drimys winteri,-73.129999999800006,-36.89999999989999
Drimys winteri,-73.129999999600003,-36.85999999949999
Drimys winteri,-73.120841163099996,-51.04346692200000
Drimys winteri,-73.116915052200000,-46.71548737570000
Drimys winteri,-73.099999999600001,-39.98333299960000
Drimys winteri,-73.099999999999994,-39.98000000020000
Drimys winteri,-73.099999999999994,-36.83333299980000
Drimys winteri,-73.099999999600001,-36.82999999980000
Drimys winteri,-73.099999999600001,-36.79999999950000
Drimys winteri,-73.084690059300002,-36.77819661270000
Drimys winteri,-73.080000000200002,-48.17000000000000
Drimys winteri,-73.079999999799995,-38.16999999970000
Drimys winteri,-73.070000000299999,-51.42000000030000
Drimys winteri,-73.069999999900006,-47.69999999960000
Drimys winteri,-73.058610000499996,-41.07527999970000
Drimys winteri,-73.033332999999999,-36.83333300030000
Drimys winteri,-73.029999999899999,-36.82999999999999
Drimys winteri,-73.029999999799998,-36.79999999959999
Drimys winteri,-73.016666666800006,-37.78333333350000
Drimys winteri,-73.000000000399993,-48.66669999959999
Drimys winteri,-72.999999999600007,-48.32000000019999
Drimys winteri,-73.000000000300005,-37.66999999960000
Drimys winteri,-73.000000000399993,-37.66666699969999
Drimys winteri,-72.983333333299996,-38.18333333369999
Drimys winteri,-72.970000000499994,-39.52000000020000
Drimys winteri,-72.966666999400005,-39.51666699970000
Drimys winteri,-72.966666666799995,-41.43333333279999
Drimys winteri,-72.949045745099994,-42.75476386300000
Drimys winteri,-72.950000000299994,-41.46999999959999
Drimys winteri,-72.962919859300001,-42.78039286250000
Drimys winteri,-72.959586858700007,-42.78372586239999
Drimys winteri,-72.920000000399995,-36.94999999979999
Drimys winteri,-72.920000000399995,-36.72999999990000
Drimys winteri,-72.916667000299995,-36.94999999960000
Drimys winteri,-72.916666999699999,-36.73333299979999
Drimys winteri,-72.927379794000004,-40.97261043240000
Drimys winteri,-72.900000000099993,-40.48333333320000
Drimys winteri,-72.900000000000006,-37.73000000030000
Drimys winteri,-72.900000000500000,-36.85999999949999
Drimys winteri,-72.896940000399994,-37.81083300009999
Drimys winteri,-72.896940000300006,-37.81082999950000
Drimys winteri,-72.886490000300000,-51.74893499979999
Drimys winteri,-72.880000000500004,-36.69999999950000
Drimys winteri,-72.850000000199998,-37.82000000019999
Drimys winteri,-72.850000000199998,-37.81666699969999
Drimys winteri,-72.831873514600005,-41.43333333340000
Drimys winteri,-72.833332999400000,-40.54999999959999
Drimys winteri,-72.833332999600003,-36.91666699990000
Drimys winteri,-72.828540515499995,-41.43333333310000
Drimys winteri,-72.829999999400002,-40.54999999959999
Drimys winteri,-72.829999999699993,-36.92000000019999
Drimys winteri,-72.819999999900006,-37.78000000019999
Drimys winteri,-72.799999999600004,-39.97000000020000
Drimys winteri,-72.799999999999997,-39.96666700000000
Drimys winteri,-72.800000000500006,-37.73000000020000
Drimys winteri,-72.799999999999997,-36.62999999990000
Drimys winteri,-72.783329999700001,-42.30000000020000
Drimys winteri,-72.769999999999996,-53.51999999990000
Drimys winteri,-72.770000000600007,-39.86999999990000
Drimys winteri,-72.769999999899994,-37.59999999960000
Drimys winteri,-72.766667000300004,-39.86666699949999
Drimys winteri,-72.766666666800006,-40.34999999950000
Drimys winteri,-72.750000000100002,-41.53000000000000
Drimys winteri,-72.744636000100002,-39.87343899969999
Drimys winteri,-72.733332999799998,-36.89999999989999
Drimys winteri,-72.730000000199993,-36.90000000029999
Drimys winteri,-72.699999999599996,-37.79999999959999
Drimys winteri,-72.699999999599996,-36.86000000039999
Drimys winteri,-72.700000000499998,-36.27999999960000
Drimys winteri,-72.699999999499994,-36.03000000000000
Drimys winteri,-72.683332999800001,-39.23333299990000
Drimys winteri,-72.680000000099994,-39.23000000039999
Drimys winteri,-72.680000000000007,-35.96999999989999
Drimys winteri,-72.650000000399999,-38.98333333339999
Drimys winteri,-72.650000000500000,-36.82000000010000
Drimys winteri,-72.650000000399999,-36.81666700030000
Drimys winteri,-72.620000000199994,-36.78000000010000
Drimys winteri,-72.599999999500000,-42.29999999999999
Drimys winteri,-72.581666333100003,-44.41833366640000
Drimys winteri,-72.582857441399995,-35.82428094179999
Drimys winteri,-72.578333333299994,-44.42166666680000
Drimys winteri,-72.569999999600000,-35.97000000020000
Drimys winteri,-72.569999999700002,-35.72000000029999
Drimys winteri,-72.566666999999995,-35.71666700010000
Drimys winteri,-72.566666667199996,-38.18333333340000
Drimys winteri,-72.549999999899995,-39.81999999949999
Drimys winteri,-72.549999999700006,-39.81666699960000
Drimys winteri,-72.549999999999997,-35.94999999950000
Drimys winteri,-72.540419999799994,-41.57880800030000
Drimys winteri,-72.539999999499997,-35.68999999999999
Drimys winteri,-72.537229999499999,-41.13754699999999
Drimys winteri,-72.533333333000002,-41.18333333319999
Drimys winteri,-72.519999999999996,-39.82000000019999
Drimys winteri,-72.520000000200000,-35.82999999989999
Drimys winteri,-72.516667000200002,-35.83333300009999
Drimys winteri,-72.499999999899998,-43.83333300020000
Drimys winteri,-72.499999999799996,-43.83000000029999
Drimys winteri,-72.499999999899998,-41.10000000019999
Drimys winteri,-72.500000000100002,-39.85000000000000
Drimys winteri,-72.499999999899998,-37.46666699970000
Drimys winteri,-72.500000000499995,-35.83333300030000
Drimys winteri,-72.500000000200004,-35.82999999980000
Drimys winteri,-72.500000000200004,-35.81999999989999
Drimys winteri,-72.499999999899998,-35.81666700009999
Drimys winteri,-72.499999999600007,-35.80000000039999
Drimys winteri,-72.483332999900000,-35.86666700010000
Drimys winteri,-72.480000000499999,-37.44999999969999
Drimys winteri,-72.479999999699999,-36.70000000000000
Drimys winteri,-72.480000000100006,-35.87000000009999
Drimys winteri,-72.470000000200002,-37.78000000010000
Drimys winteri,-72.466667000499996,-37.78333299989999
Drimys winteri,-72.466666666400002,-41.73333333370000
Drimys winteri,-72.460000000299999,-35.82999999970000
Drimys winteri,-72.450000000299994,-37.75000000010000
Drimys winteri,-72.433333332900006,-41.06666666630000
Drimys winteri,-72.433332999900003,-39.73333299960000
Drimys winteri,-72.433333000499999,-38.53333300010000
Drimys winteri,-72.430000000400000,-39.72999999980000
Drimys winteri,-72.429999999499998,-38.52999999970000
Drimys winteri,-72.426194949999996,-35.33951993139999
Drimys winteri,-72.419999999500007,-38.50999999970000
Drimys winteri,-72.420000000399995,-36.36999999969999
Drimys winteri,-72.416667000499999,-38.51666700010000
Drimys winteri,-72.416667000199993,-35.33333300020000
Drimys winteri,-72.400000000600002,-42.37000000009999
Drimys winteri,-72.399999999499997,-42.36667000020000
Drimys winteri,-72.400000000399999,-38.50000000019999
Drimys winteri,-72.399999999599999,-36.37000000030000
Drimys winteri,-72.399999999599999,-35.83333300030000
Drimys winteri,-72.399999999800002,-35.82999999980000
Drimys winteri,-72.374063874900003,-35.31762053909999
Drimys winteri,-72.383333333300001,-41.76666666669999
Drimys winteri,-72.383332999700002,-35.39999999989999
Drimys winteri,-72.383329999899999,-42.34999999979999
Drimys winteri,-72.379999999399999,-42.34999999960000
Drimys winteri,-72.369999999399994,-53.82000000000000
Drimys winteri,-72.369999999900003,-35.38000000030000
Drimys winteri,-72.349999999600001,-40.88333333340000
Drimys winteri,-72.349999999900007,-40.69999999969999
Drimys winteri,-72.349999999800005,-36.38333333290000
Drimys winteri,-72.349999999999994,-36.38333300040000
Drimys winteri,-72.349999999600001,-35.96999999959999
Drimys winteri,-72.349999999900007,-35.96666700040000
Drimys winteri,-72.349999999900007,-35.62000000009999
Drimys winteri,-72.340000000399996,-36.36999999959999
Drimys winteri,-72.339999999499994,-35.93000000040000
Drimys winteri,-72.333333333300004,-41.50000000010000
Drimys winteri,-72.333333333100001,-38.20000000009999
Drimys winteri,-72.333333000500005,-39.63333300019999
Drimys winteri,-72.333332999600003,-35.55000000030000
Drimys winteri,-72.330000000300004,-39.62999999990000
Drimys winteri,-72.327284000099993,-40.70942799960000
Drimys winteri,-72.324051348099999,-54.42348780079999
Drimys winteri,-72.319999999800004,-53.61999999980000
Drimys winteri,-72.319999999900006,-35.53000000000000
Drimys winteri,-72.316666667000007,-40.71666666659999
Drimys winteri,-72.299999999700006,-53.54999999990000
Drimys winteri,-72.299999999999997,-53.53000000019999
Drimys winteri,-72.283333000200003,-36.75000000019999
Drimys winteri,-72.280000000200005,-36.75000000040000
Drimys winteri,-72.269999999899994,-39.77999999979999
Drimys winteri,-72.270000000099998,-36.71999999999999
Drimys winteri,-72.266666999999998,-39.78333299970000
Drimys winteri,-72.266666999500003,-35.58333300009999
Drimys winteri,-72.266666666399999,-38.86666666699999
Drimys winteri,-72.266666666600003,-35.58333333360000
Drimys winteri,-72.250000000399993,-53.52000000000000
Drimys winteri,-72.249999999799996,-39.03333299959999
Drimys winteri,-72.250000000200004,-39.03000000010000
Drimys winteri,-72.216666666099997,-40.74999999970000
Drimys winteri,-72.200000000100005,-40.76999999969999
Drimys winteri,-72.200000000299994,-40.21666666659999
Drimys winteri,-72.200000000100005,-39.71666699979999
Drimys winteri,-72.197025673799999,-53.57266751729999
Drimys winteri,-72.183333332900006,-39.88333333370000
Drimys winteri,-72.169999999599995,-40.75000000000000
Drimys winteri,-72.170000000000002,-39.90000000020000
Drimys winteri,-72.166667000399997,-39.89999999959999
Drimys winteri,-72.166666666599994,-39.01666666669999
Drimys winteri,-72.166660000500002,-40.74999999980000
Drimys winteri,-72.149999999700000,-38.94999999969999
Drimys winteri,-72.083333000500005,-38.01666699999999
Drimys winteri,-72.033332999799995,-34.84999999960000
Drimys winteri,-72.030000000499996,-34.84999999979999
Drimys winteri,-72.005759000500007,-53.69356299999999
Drimys winteri,-72.000000000100002,-39.57000000019999
Drimys winteri,-71.999999999899998,-35.99999999960000
Drimys winteri,-71.966667000499996,-34.44999999990000
Drimys winteri,-71.966666666400002,-34.44999999990000
Drimys winteri,-71.960559999899999,-39.76749999970000
Drimys winteri,-71.960555999700006,-39.76750000010000
Drimys winteri,-71.950000000499998,-37.45000000009999
Drimys winteri,-71.950000000200006,-34.20000000030000
Drimys winteri,-71.933329999799994,-40.61667000039999
Drimys winteri,-71.929999999800003,-34.42999999970000
Drimys winteri,-71.900000000500000,-53.68000000010000
Drimys winteri,-71.883332999700002,-34.56666699969999
Drimys winteri,-71.880000000300001,-34.57000000010000
Drimys winteri,-71.853354000600007,-41.06713899950000
Drimys winteri,-71.840482155800004,-52.94912964499999
Drimys winteri,-71.849999999700003,-34.54000000020000
Drimys winteri,-71.833332999899994,-36.56666699979999
Drimys winteri,-71.830000000499993,-36.56999999960000
Drimys winteri,-71.799999999899995,-36.54000000039999
Drimys winteri,-71.783333332900000,-42.08333333310000
Drimys winteri,-71.783333000100001,-37.76666700010000
Drimys winteri,-71.779999999699996,-37.77000000020000
Drimys winteri,-71.769999999999996,-37.52000000009999
Drimys winteri,-71.769999999899994,-37.19999999990000
Drimys winteri,-71.750000000000000,-38.20000000009999
Drimys winteri,-71.749999999500005,-38.17000000040000
Drimys winteri,-71.750000000399993,-38.16666699980000
Drimys winteri,-71.750000000399993,-37.77000000020000
Drimys winteri,-71.749999999699995,-37.76666700029999
Drimys winteri,-71.750000000100002,-37.73999999950000
Drimys winteri,-71.733332999799998,-38.23333300030000
Drimys winteri,-71.724689999500001,-39.16772000000000
Drimys winteri,-71.719999999600006,-38.16000000020000
Drimys winteri,-71.720000000100001,-37.74000000030000
Drimys winteri,-71.720000000400006,-36.88000000019999
Drimys winteri,-71.716667000000001,-36.88333300000000
Drimys winteri,-71.716666666300000,-39.41666666689999
Drimys winteri,-71.716666667100000,-38.68333333369999
Drimys winteri,-71.699999999499994,-38.22000000029999
Drimys winteri,-71.700000000399996,-37.52000000009999
Drimys winteri,-71.689999999600005,-36.85000000010000
Drimys winteri,-71.686940000500002,-39.01055999990000
Drimys winteri,-71.683333333600004,-30.73333333289999
Drimys winteri,-71.683332999699999,-30.65000000030000
Drimys winteri,-71.678574078200000,-33.25810093999999
Drimys winteri,-71.673615000300003,-30.66666800000000
Drimys winteri,-71.673610000500005,-30.66666999960000
Drimys winteri,-71.673358333500005,-30.66677777769999
Drimys winteri,-71.669999999500007,-30.66999999950000
Drimys winteri,-71.666666999599997,-30.69999999959999
Drimys winteri,-71.666666999800000,-30.66666700040000
Drimys winteri,-71.666667000000004,-30.64999999950000
Drimys winteri,-71.666666667000001,-37.49999999980000
Drimys winteri,-71.659999999999997,-33.25999999980000
Drimys winteri,-71.659999999899995,-30.62000000000000
Drimys winteri,-71.649999999900004,-37.61999999980000
Drimys winteri,-71.650000000099993,-33.33333333299999
Drimys winteri,-71.639999999799997,-30.67000000030000
Drimys winteri,-71.640000000300006,-30.64000000029999
Drimys winteri,-71.640000000100002,-30.61999999980000
Drimys winteri,-71.638090167499996,-33.03000000019999
Drimys winteri,-71.633333000099995,-36.88333299989999
Drimys winteri,-71.633333000199997,-36.84999999979999
Drimys winteri,-71.633332999900006,-33.05000000009999
Drimys winteri,-71.632719085299996,-33.03578865819999
Drimys winteri,-71.633329999400004,-36.84999999960000
Drimys winteri,-71.629999999800006,-37.07999999970000
Drimys winteri,-71.629999999800006,-36.88000000000000
Drimys winteri,-71.629999999999995,-36.85000000010000
