Especie,Longitud,Latitud
Liolaemus tenuis,-71.542969999999997-35.675150000000002
Liolaemus tenuis,-70.642944999999997-33.438903000000003
Liolaemus tenuis,-71.665136000000004-33.264153000000000
Liolaemus tenuis,-70.966301000000001-35.609692000000003
Liolaemus tenuis,-71.622628000000006-33.053628000000003
Liolaemus tenuis,-73.520336000000000-39.916108999999999
Liolaemus tenuis,-72.981491000000005-36.897744000000003
Liolaemus tenuis,-71.649270000000001-38.646203999999997
Liolaemus tenuis,-71.769541000000004-39.425573999999997
Liolaemus tenuis,-71.643575999999996-39.142268000000001
Liolaemus tenuis,-70.655561000000006-33.494044000000002
Liolaemus tenuis,-72.457419999999999-39.769975000000002
Liolaemus tenuis,-71.625524999999996-38.726405999999997
Liolaemus tenuis,-73.404730999999998-39.718927999999998
Liolaemus tenuis,-71.070258999999993-35.606163000000002
Liolaemus tenuis,-71.250000000000000-34.733333000000002
Liolaemus tenuis,-70.716667000000001-32.733333000000002
Liolaemus tenuis,-70.716667000000001-32.733333000000002
Liolaemus tenuis,-70.716667000000001-32.733333000000002
Liolaemus tenuis,-72.000000000000000-34.383333000000000
Liolaemus tenuis,-71.250000000000000-34.733333000000002
Liolaemus tenuis,-71.349999999999994-36.649999999999999
Liolaemus tenuis,-71.349999999999994-36.649999999999999
Liolaemus tenuis,-70.950000000000003-31.766667000000002
Liolaemus tenuis,-72.000000000000000-34.383333000000000
Liolaemus tenuis,-72.066666999999995-35.833333000000003
Liolaemus tenuis,-72.066666999999995-35.833333000000003
Liolaemus tenuis,-70.716667000000001-32.733333000000002
Liolaemus tenuis,-70.950000000000003-31.766667000000002
Liolaemus tenuis,-70.916667000000004-32.233333000000002
Liolaemus tenuis,-72.066666999999995-35.833333000000003
Liolaemus tenuis,-72.000000000000000-34.383333000000000
Liolaemus tenuis,-71.250000000000000-34.733333000000002
Liolaemus tenuis,-71.450000000000003-36.600000000000001
Liolaemus tenuis,-71.809500000000000-38.218027999999997
Liolaemus tenuis,-72.150082999999995-38.210472000000003
Liolaemus tenuis,-73.154443999999998-38.027250000000002
Liolaemus tenuis,-71.809500000000000-38.218027999999997
Liolaemus tenuis,-71.641750000000002-39.435361000000000
Liolaemus tenuis,-71.641750000000002-39.435361000000000
Liolaemus tenuis,-71.366500000000002-34.013007000000002
Liolaemus tenuis,-71.726187999999993-39.168196999999999
Liolaemus tenuis,-70.419387999999998-33.763407000000001
Liolaemus tenuis,-71.807755999999998-38.578366000000003
Liolaemus tenuis,-71.780932000000007-38.581242000000003
Liolaemus tenuis,-71.996926999999999-39.284025000000000
Liolaemus tenuis,-71.721667999999994-39.164873000000000
Liolaemus tenuis,-71.466669999999993-34.200000000000003
Liolaemus tenuis,-70.966301000000001-35.609692000000003
Liolaemus tenuis,-70.696072000000001-33.583941000000003
Liolaemus tenuis,-71.540836999999996-33.038420000000002
Liolaemus tenuis,-70.696409000000003-33.584059000000003
Liolaemus tenuis,-70.696269000000001-33.584049999999998
Liolaemus tenuis,-71.024213000000003-35.603479000000000
Liolaemus tenuis,-71.202027000000001-34.218750999999997
Liolaemus tenuis,-70.599551000000005-33.376857000000001
Liolaemus tenuis,-70.423327000000000-33.728056000000002
Liolaemus tenuis,-72.933329999999998-37.166670000000003
Liolaemus tenuis,-72.933329999999998-37.166670000000003
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-72.933329999999998-37.166670000000003
Liolaemus tenuis,-73.933333000000005-38.366667000000000
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-71.966667000000001-39.266666999999998
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-72.933329999999998-37.166670000000003
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.049999999999997-36.833333000000003
Liolaemus tenuis,-73.016666999999998-36.916666999999997
Liolaemus tenuis,-70.930993000000001-35.434080999999999
Liolaemus tenuis,-71.077257000000003-32.954360000000001
Liolaemus tenuis,-71.933329999999998-39.416670000000003
Liolaemus tenuis,-71.966669999999993-39.266669999999998
Liolaemus tenuis,-71.966669999999993-39.266669999999998
Liolaemus tenuis,-71.966669999999993-39.266669999999998
Liolaemus tenuis,-71.966669999999993-39.266669999999998
Liolaemus tenuis,-71.966669999999993-39.266669999999998
Liolaemus tenuis,-71.966669999999993-39.266669999999998
Liolaemus tenuis,-73.027670999999998-36.838040999999997
Liolaemus tenuis,-73.044746000000004-36.837851999999998
Liolaemus tenuis,-71.031004999999993-35.459287000000003
